race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016013007010508,2016,07,13,13,13,13,13,13,0,0,0
2016013007010509,2016,07,16,16,16,16,16,16,0,0,0
2016013007010510,2016,07,10,10,10,10,10,10,0,0,0
2016013007010511,2016,07,16,16,16,16,16,16,0,3,0
2016013007010512,2016,07,14,14,14,14,14,14,0,14,0
2016013008020101,2016,08,16,16,16,16,16,16,0,16,0
2016013008020102,2016,08,16,16,16,16,16,16,0,16,0
2016013008020103,2016,08,16,16,16,16,16,16,0,16,0
2016013008020104,2016,08,16,16,16,16,16,16,0,16,0
2016013008020105,2016,08,16,16,16,16,16,16,0,16,0
2016013008020106,2016,08,15,15,15,15,15,15,0,15,0
2016013008020107,2016,08,13,13,13,13,13,13,0,13,0
2016013008020108,2016,08,12,12,12,12,12,12,0,12,0
2016013008020109,2016,08,11,11,11,11,11,11,0,11,0
2016013008020110,2016,08,12,12,12,12,12,12,0,12,0
2016013008020111,2016,08,14,14,14,14,14,14,0,14,0
2016013008020112,2016,08,13,13,13,13,13,13,0,13,0
2016013105010201,2016,05,16,16,16,16,16,16,0,16,0
2016013105010202,2016,05,16,16,16,16,16,16,0,16,0
2016013105010203,2016,05,16,16,16,15,16,15,0,15,1
2016013105010204,2016,05,16,16,16,16,16,16,0,16,0
2016013105010205,2016,05,16,16,16,16,16,16,0,16,0
2016013105010206,2016,05,11,11,11,11,11,11,0,11,0
2016013105010207,2016,05,16,16,16,16,16,16,0,16,0
2016013105010208,2016,05,16,16,16,16,16,16,0,0,0
2016013105010209,2016,05,11,11,11,11,11,11,0,0,0
2016013105010210,2016,05,14,14,14,14,14,14,0,0,0
2016013105010211,2016,05,16,16,16,16,16,16,0,0,0
2016013105010212,2016,05,10,10,10,10,10,10,0,0,0
2016013107010601,2016,07,16,16,16,16,16,16,0,0,0
2016013107010602,2016,07,16,16,16,16,16,16,0,0,0
2016013107010603,2016,07,9,9,9,9,9,9,0,0,0
2016013107010604,2016,07,14,14,14,13,14,13,0,0,1
2016013107010605,2016,07,14,14,14,14,14,14,0,0,0
2016013107010606,2016,07,16,16,16,16,16,16,0,0,0
2016013107010607,2016,07,18,18,18,18,18,18,0,0,0
2016013107010608,2016,07,14,14,14,13,14,13,0,0,1
2016013107010609,2016,07,18,18,18,18,18,18,0,0,0
2016013107010610,2016,07,14,14,14,14,14,14,0,0,0
2016013107010611,2016,07,12,12,12,12,12,12,0,0,0
2016013107010612,2016,07,12,12,12,12,12,12,0,0,0
2016013108020201,2016,08,16,16,16,16,16,16,0,0,0
2016013108020202,2016,08,16,16,16,16,16,16,0,0,0
2016013108020203,2016,08,16,16,16,16,16,16,0,0,0
2016013108020204,2016,08,16,16,16,16,16,16,0,9,0
2016013108020205,2016,08,16,16,16,16,16,16,0,16,0
2016013108020206,2016,08,8,8,8,8,8,8,0,8,0
2016013108020207,2016,08,14,14,14,14,14,14,0,14,0
2016013108020208,2016,08,13,13,13,13,13,13,0,13,0
2016013108020209,2016,08,13,13,13,13,13,13,0,13,0
2016013108020210,2016,08,9,9,9,9,9,9,0,9,0
2016013108020211,2016,08,16,16,16,16,16,16,0,16,0
2016013108020212,2016,08,14,14,14,14,14,14,0,14,0
2016020605010301,2016,05,16,16,16,16,16,16,0,16,0
2016020605010302,2016,05,16,16,16,16,16,16,0,16,0
2016020605010303,2016,05,16,16,16,16,16,16,0,16,0
2016020605010304,2016,05,14,14,14,14,14,14,0,14,0
2016020605010305,2016,05,16,16,16,16,16,16,0,16,0
2016020605010306,2016,05,16,16,16,16,16,16,0,16,0
2016020605010307,2016,05,12,12,12,12,12,12,0,12,0
2016020605010308,2016,05,16,16,16,16,16,16,0,16,0
2016020605010309,2016,05,13,13,13,13,13,13,0,13,0
2016020605010310,2016,05,14,14,14,14,14,14,0,14,0
2016020605010311,2016,05,14,14,14,14,14,14,0,14,0
2016020605010312,2016,05,16,16,16,16,16,16,0,16,0
2016020608020301,2016,08,15,15,15,15,15,15,0,15,0
2016020608020302,2016,08,16,16,16,16,16,16,0,0,0
2016020608020303,2016,08,16,16,16,16,16,16,0,0,0
2016020608020304,2016,08,16,16,16,16,16,16,0,0,0
2016020608020305,2016,08,16,16,16,16,16,16,0,0,0
2016020608020306,2016,08,16,16,16,16,16,16,0,0,0
2016020608020307,2016,08,10,10,10,10,10,10,0,0,0
2016020608020308,2016,08,16,16,16,15,16,15,0,0,1
2016020608020309,2016,08,13,13,13,13,13,13,0,0,0
2016020608020310,2016,08,11,11,11,11,11,11,0,0,0
2016020608020311,2016,08,13,13,13,13,13,13,0,0,0
2016020608020312,2016,08,13,13,13,13,13,13,0,0,0
2016020705010401,2016,05,16,16,16,16,16,16,0,0,0
2016020705010402,2016,05,16,16,16,16,16,16,0,0,0
2016020705010403,2016,05,16,16,16,16,16,16,0,0,0
2016020705010404,2016,05,16,16,16,16,16,16,0,0,0
2016020705010405,2016,05,16,16,16,16,16,16,0,0,0
2016020705010406,2016,05,16,16,16,16,16,16,0,0,0
2016020705010407,2016,05,16,16,16,16,16,16,0,0,0
2016020705010408,2016,05,16,16,16,16,16,16,0,0,0
2016020705010409,2016,05,16,16,16,16,16,16,0,0,0
2016020705010410,2016,05,9,9,9,9,9,9,0,0,0
2016020705010411,2016,05,14,14,14,14,14,14,0,0,0
2016020705010412,2016,05,16,16,16,16,16,16,0,0,0
2016020708020401,2016,08,14,14,14,14,14,14,0,0,0
2016020708020402,2016,08,16,16,16,16,16,16,0,0,0
2016020708020403,2016,08,11,11,11,11,11,11,0,0,0
2016020708020404,2016,08,14,14,14,13,14,13,0,0,1
2016020708020405,2016,08,16,16,16,16,16,16,0,0,0
2016020708020406,2016,08,16,16,16,16,16,16,0,0,0
2016020708020407,2016,08,10,10,10,10,10,10,0,0,0
2016020708020408,2016,08,16,16,16,16,16,16,0,0,0
2016020708020409,2016,08,12,12,12,12,12,12,0,0,0
2016020708020410,2016,08,15,15,15,14,15,14,0,0,1
2016020708020411,2016,08,9,9,9,9,9,9,0,0,0
2016020708020412,2016,08,16,16,16,16,16,16,0,0,0
2016021305010501,2016,05,16,16,16,16,16,16,0,0,0
2016021305010502,2016,05,16,16,16,16,16,16,0,0,0
2016021305010503,2016,05,16,16,16,16,16,16,0,0,0
2016021305010504,2016,05,16,16,16,16,16,16,0,0,0
2016021305010505,2016,05,16,16,16,16,16,16,0,0,0
2016021305010506,2016,05,16,16,16,16,16,16,0,15,0
2016021305010507,2016,05,16,16,16,16,16,16,0,16,0
2016021305010508,2016,05,14,14,14,14,14,14,0,14,0
2016021305010509,2016,05,14,14,14,14,14,14,0,14,0
2016021305010510,2016,05,14,14,14,14,14,14,0,14,0
2016021305010511,2016,05,16,16,16,16,16,16,0,16,0
2016021305010512,2016,05,15,15,15,15,15,15,0,15,0
2016021308020501,2016,08,16,16,16,16,16,16,0,16,0
2016021308020502,2016,08,15,15,15,15,15,15,0,15,0
2016021308020503,2016,08,16,16,16,16,16,16,0,16,0
2016021308020504,2016,08,16,16,16,16,16,16,0,16,0
2016021308020505,2016,08,16,16,16,16,16,16,0,16,0
2016021308020506,2016,08,9,9,9,9,9,9,0,9,0
2016021308020507,2016,08,16,16,16,16,16,16,0,16,0
2016021308020508,2016,08,16,16,16,16,16,16,0,16,0
2016021308020509,2016,08,9,9,9,9,9,9,0,9,0
2016021308020510,2016,08,14,14,14,14,14,14,0,14,0
2016021308020511,2016,08,10,10,10,10,10,10,0,10,0
2016021308020512,2016,08,12,12,12,12,12,12,0,12,0
2016021310010101,2016,10,15,15,15,15,15,15,0,15,0
2016021310010102,2016,10,14,14,14,13,14,13,0,13,1
2016021310010103,2016,10,18,18,18,18,18,18,0,0,0
2016021310010104,2016,10,16,16,16,16,16,16,0,0,0
2016021310010105,2016,10,16,16,16,16,16,16,0,0,0
2016021310010106,2016,10,14,14,14,14,14,14,0,0,0
2016021310010107,2016,10,18,18,18,18,18,18,0,0,0
2016021310010108,2016,10,18,18,18,18,18,18,0,0,0
2016021310010109,2016,10,16,16,16,15,16,15,0,0,1
2016021310010110,2016,10,13,13,13,13,13,13,0,0,0
2016021310010111,2016,10,17,17,17,17,17,17,0,0,0
2016021310010112,2016,10,16,16,16,16,16,16,0,0,0
2016021405010601,2016,05,16,16,16,16,16,16,0,0,0
2016021405010602,2016,05,16,16,16,16,16,16,0,0,0
2016021405010603,2016,05,16,16,16,16,16,16,0,0,0
2016021405010604,2016,05,16,16,16,16,16,16,0,0,0
2016021405010605,2016,05,16,16,16,16,16,16,0,0,0
2016021405010606,2016,05,16,16,16,16,16,16,0,0,0
2016021405010607,2016,05,13,13,13,13,13,13,0,0,0
2016021405010608,2016,05,16,16,16,16,16,16,0,0,0
2016021405010609,2016,05,16,16,16,16,16,16,0,0,0
2016021405010610,2016,05,16,16,16,16,16,16,0,12,0
2016021405010611,2016,05,10,10,10,10,10,10,0,10,0
2016021405010612,2016,05,16,16,16,16,16,16,0,16,0
2016021408020601,2016,08,16,16,16,16,16,16,0,16,0
2016021408020602,2016,08,14,14,14,14,14,14,0,14,0
2016021408020603,2016,08,15,15,15,15,15,15,0,15,0
2016021408020604,2016,08,14,14,14,14,14,14,0,14,0
2016021408020605,2016,08,16,16,16,16,16,16,0,16,0
2016021408020606,2016,08,16,16,16,16,16,16,0,16,0
2016021408020607,2016,08,16,16,16,16,16,16,0,16,0
2016021408020608,2016,08,16,16,16,16,16,16,0,16,0
2016021408020609,2016,08,10,10,10,10,10,10,0,10,0
2016021408020610,2016,08,16,16,16,16,16,16,0,16,0
2016021408020611,2016,08,15,15,15,15,15,15,0,15,0
2016021408020612,2016,08,16,16,16,16,16,16,0,16,0
2016021410010201,2016,10,16,16,16,16,16,16,0,16,0
2016021410010202,2016,10,14,14,14,14,14,14,0,14,0
2016021410010203,2016,10,18,18,18,18,18,18,0,18,0
2016021410010204,2016,10,17,17,17,17,17,17,0,17,0
2016021410010205,2016,10,18,18,18,18,18,18,0,18,0
2016021410010206,2016,10,16,16,16,16,16,16,0,0,0
2016021410010207,2016,10,16,16,16,16,16,16,0,0,0
2016021410010208,2016,10,18,18,18,18,18,18,0,0,0
2016021410010209,2016,10,16,16,16,16,16,16,0,0,0
2016021410010210,2016,10,18,18,18,18,18,18,0,0,0
2016021410010211,2016,10,15,15,15,15,15,15,0,0,0
2016021410010212,2016,10,13,13,13,13,13,13,0,0,0
2016022005010701,2016,05,16,16,16,16,16,16,0,0,0
2016022005010702,2016,05,16,16,16,16,16,16,0,0,0
2016022005010703,2016,05,16,16,16,16,16,16,0,0,0
2016022005010704,2016,05,14,14,14,14,14,14,0,0,0
2016022005010705,2016,05,16,16,16,16,16,16,0,0,0
2016022005010706,2016,05,16,16,16,16,16,16,0,0,0
2016022005010707,2016,05,16,16,16,16,16,16,0,0,0
2016022005010708,2016,05,16,16,16,16,16,16,0,0,0
2016022005010709,2016,05,11,11,11,11,11,11,0,0,0
2016022005010710,2016,05,14,14,14,14,14,14,0,0,0
2016022005010711,2016,05,16,16,16,16,16,16,0,0,0
2016022005010712,2016,05,13,13,13,13,13,13,0,0,0
2016022008020701,2016,08,16,16,16,16,16,16,0,0,0
2016022008020702,2016,08,15,15,15,15,15,15,0,0,0
2016022008020703,2016,08,16,16,16,16,16,16,0,0,0
2016022008020704,2016,08,16,16,16,16,16,16,0,0,0
2016022008020705,2016,08,16,16,16,16,16,16,0,0,0
