race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2017052105021004,2017,05,18,18,18,17,18,17,0,0,1
2017052105021008,2017,05,15,15,15,14,15,14,0,0,1
2017052708031105,2017,08,16,16,16,15,16,15,0,15,1
2017052708031107,2017,08,16,16,16,15,16,15,0,15,1
2017052805021205,2017,05,16,16,16,14,16,14,0,0,1
2017061702010103,2017,02,12,12,12,11,12,11,0,0,1
2017061702010109,2017,02,14,14,14,13,14,13,0,0,1
2017061705030505,2017,05,16,16,16,15,16,15,0,0,1
2017061705030510,2017,05,12,12,12,11,12,11,0,11,1
2017061709030502,2017,09,16,16,16,15,16,15,0,15,1
2017061709030506,2017,09,18,18,18,17,18,17,0,17,1
2017061802010201,2017,02,14,14,14,13,14,13,0,13,1
2017061805030607,2017,05,16,16,16,15,16,15,0,15,1
2017062409030705,2017,09,10,10,10,9,10,9,0,0,1
2017062502010403,2017,02,14,14,14,13,14,13,0,13,1
2017062502010404,2017,02,16,16,16,15,16,15,0,15,1
2017062505030803,2017,05,16,16,16,14,16,14,0,14,1
2017070202010605,2017,02,11,11,11,10,11,10,0,0,1
2017070202010609,2017,02,13,13,13,12,13,12,0,0,1
2017070203020206,2017,03,10,10,10,9,10,9,0,0,1
2017070207030204,2017,07,18,18,18,17,18,17,0,0,1
2017070807030307,2017,07,18,18,18,17,18,17,0,0,1
2017070903020405,2017,03,15,15,15,14,15,14,0,14,1
2017070907030410,2017,07,11,11,11,10,11,10,0,10,1
2017071502020304,2017,02,13,13,13,12,13,12,0,12,1
2017071503020508,2017,03,15,15,15,14,15,14,0,14,1
2017071507030510,2017,07,16,16,16,15,16,15,0,15,1
2017071607030611,2017,07,16,16,16,15,16,15,0,15,1
2017072207030705,2017,07,14,14,14,13,14,13,0,13,1
2017072302020611,2017,02,16,16,16,15,16,15,0,0,1
2017072307030805,2017,07,15,15,15,14,15,14,0,0,1
2017072307030810,2017,07,16,16,16,15,16,15,0,0,1
