target,feature_set,importance_type,feature,importance,sample_rows
win,market_aware,mean_abs_shap,ChokyosiCode,0.035153730929,5000
win,market_aware,mean_abs_shap,CourseKubunCD,0.031264490666,5000
win,market_aware,mean_abs_shap,DirtBabaCD,0.0,5000
win,market_aware,mean_abs_shap,FukuVote,0.020224979567,5000
win,market_aware,mean_abs_shap,Futan,0.015615448195,5000
win,market_aware,mean_abs_shap,GradeCD,0.035953638827,5000
win,market_aware,mean_abs_shap,JyoCD,0.042172035681,5000
win,market_aware,mean_abs_shap,JyokenCD1,0.005915045323,5000
win,market_aware,mean_abs_shap,JyokenCD2,0.022901529623,5000
win,market_aware,mean_abs_shap,JyokenCD3,0.016392930433,5000
win,market_aware,mean_abs_shap,JyokenCD4,0.007522036749,5000
win,market_aware,mean_abs_shap,JyokenCD5,0.025282421343,5000
win,market_aware,mean_abs_shap,Kaiji,0.004118575455,5000
win,market_aware,mean_abs_shap,KisyuCode,0.039952864386,5000
win,market_aware,mean_abs_shap,Kyori,0.044358383659,5000
win,market_aware,mean_abs_shap,MonthDay,0.035133592319,5000
win,market_aware,mean_abs_shap,Nichiji,0.00827899957,5000
win,market_aware,mean_abs_shap,RaceNum,0.008039648371,5000
win,market_aware,mean_abs_shap,SexCD,0.014854085161,5000
win,market_aware,mean_abs_shap,SibaBabaCD,0.0,5000
win,market_aware,mean_abs_shap,SyubetuCD,0.013437682268,5000
win,market_aware,mean_abs_shap,SyussoTosu,0.050059194887,5000
win,market_aware,mean_abs_shap,TanVote,0.038579930715,5000
win,market_aware,mean_abs_shap,TenkoCD,0.020459814199,5000
win,market_aware,mean_abs_shap,TorokuTosu,0.050479653551,5000
win,market_aware,mean_abs_shap,TrackCD,0.013616477588,5000
win,market_aware,mean_abs_shap,Umaban,0.010527815473,5000
win,market_aware,mean_abs_shap,Wakuban,0.010516918842,5000
win,market_aware,mean_abs_shap,Year,0.007460074985,5000
win,market_aware,mean_abs_shap,YoubiCD,0.017068525658,5000
win,market_aware,mean_abs_shap,ZogenFugo,0.006801582425,5000
win,market_aware,mean_abs_shap,ZogenSa,0.003767911524,5000
win,market_aware,mean_abs_shap,fuku_ninki,0.045199946689,5000
win,market_aware,mean_abs_shap,fuku_odds_high,0.062654894634,5000
win,market_aware,mean_abs_shap,fuku_odds_low,0.044051792351,5000
win,market_aware,mean_abs_shap,horse_baba_past_starts,0.007916359432,5000
win,market_aware,mean_abs_shap,horse_baba_top3_rate,0.019636841372,5000
win,market_aware,mean_abs_shap,horse_baba_win_rate,0.039898371405,5000
win,market_aware,mean_abs_shap,horse_body_weight_diff_last,0.007946079312,5000
win,market_aware,mean_abs_shap,horse_days_since_last,0.0573111736,5000
win,market_aware,mean_abs_shap,horse_dist_band_past_starts,0.006008122648,5000
win,market_aware,mean_abs_shap,horse_dist_band_top3_rate,0.006101728771,5000
win,market_aware,mean_abs_shap,horse_dist_band_win_rate,0.004578341267,5000
win,market_aware,mean_abs_shap,horse_distance_diff_last,0.038617874047,5000
win,market_aware,mean_abs_shap,horse_futan_diff_last,0.011098853162,5000
win,market_aware,mean_abs_shap,horse_jockey_past_starts,0.004326736415,5000
win,market_aware,mean_abs_shap,horse_jockey_top3_rate,0.016958770866,5000
win,market_aware,mean_abs_shap,horse_jockey_win_rate,0.003444908527,5000
win,market_aware,mean_abs_shap,horse_jyo_past_starts,0.005047028115,5000
win,market_aware,mean_abs_shap,horse_jyo_top3_rate,0.019177181382,5000
win,market_aware,mean_abs_shap,horse_jyo_win_rate,0.007947673255,5000
win,market_aware,mean_abs_shap,horse_last1_avg_finish,0.186362350754,5000
win,market_aware,mean_abs_shap,horse_last3_avg_finish,0.067350619792,5000
win,market_aware,mean_abs_shap,horse_last3_avg_haron_l3,0.059426515737,5000
win,market_aware,mean_abs_shap,horse_last3_avg_ninki,0.109890544354,5000
win,market_aware,mean_abs_shap,horse_last3_avg_time,0.034510211218,5000
win,market_aware,mean_abs_shap,horse_last3_place_paid_rate,0.015539381441,5000
win,market_aware,mean_abs_shap,horse_last3_ren_rate,0.045036509587,5000
win,market_aware,mean_abs_shap,horse_last3_top3_rate,0.022553127334,5000
win,market_aware,mean_abs_shap,horse_last3_win_rate,0.045209925832,5000
win,market_aware,mean_abs_shap,horse_last5_avg_finish,0.021588199746,5000
win,market_aware,mean_abs_shap,horse_last5_avg_haron_l3,0.070861585407,5000
win,market_aware,mean_abs_shap,horse_last5_avg_ninki,0.087831851122,5000
win,market_aware,mean_abs_shap,horse_last5_avg_time,0.017013143094,5000
win,market_aware,mean_abs_shap,horse_last5_place_paid_rate,0.020868712514,5000
win,market_aware,mean_abs_shap,horse_last5_ren_rate,0.010664516715,5000
win,market_aware,mean_abs_shap,horse_last5_top3_rate,0.012225612974,5000
win,market_aware,mean_abs_shap,horse_last5_win_rate,0.013257439418,5000
win,market_aware,mean_abs_shap,horse_past_starts,0.012356046856,5000
win,market_aware,mean_abs_shap,horse_surface_past_starts,0.024961468233,5000
win,market_aware,mean_abs_shap,horse_surface_top3_rate,0.0690763628,5000
win,market_aware,mean_abs_shap,horse_surface_win_rate,0.029222024518,5000
win,market_aware,mean_abs_shap,jockey_dist_band_past_starts,0.010027228317,5000
win,market_aware,mean_abs_shap,jockey_dist_band_top3_rate,0.028461387352,5000
win,market_aware,mean_abs_shap,jockey_dist_band_win_rate,0.010857691013,5000
win,market_aware,mean_abs_shap,jockey_jyo_past_starts,0.013760980376,5000
win,market_aware,mean_abs_shap,jockey_jyo_top3_rate,0.03018608341,5000
win,market_aware,mean_abs_shap,jockey_jyo_win_rate,0.027613683091,5000
win,market_aware,mean_abs_shap,jockey_past_starts,0.023998002352,5000
win,market_aware,mean_abs_shap,jockey_ren_rate,0.039626281156,5000
win,market_aware,mean_abs_shap,jockey_top3_rate,0.021671770382,5000
win,market_aware,mean_abs_shap,jockey_win_rate,0.024482089928,5000
win,market_aware,mean_abs_shap,place_bet_available_by_rule,0.0,5000
win,market_aware,mean_abs_shap,place_odds_available,0.04520897377,5000
win,market_aware,mean_abs_shap,place_rank_limit,0.000838668727,5000
win,market_aware,mean_abs_shap,place_votes_available,0.041385732421,5000
win,market_aware,mean_abs_shap,tan_ninki,0.041283983335,5000
win,market_aware,mean_abs_shap,tan_odds,0.255978651175,5000
win,market_aware,mean_abs_shap,trainer_past_starts,0.028759211493,5000
win,market_aware,mean_abs_shap,trainer_ren_rate,0.023296898041,5000
win,market_aware,mean_abs_shap,trainer_top3_rate,0.028299991159,5000
win,market_aware,mean_abs_shap,trainer_win_rate,0.0278439899,5000
win,market_aware,mean_abs_shap,win_odds_available,0.011228814626,5000
win,market_aware,mean_abs_shap,win_votes_available,0.052008780756,5000
win,market_free,mean_abs_shap,BaTaijyu,0.146518040659,5000
win,market_free,mean_abs_shap,Barei,0.067497509457,5000
win,market_free,mean_abs_shap,ChokyosiCode,0.038251135888,5000
win,market_free,mean_abs_shap,CourseKubunCD,0.02602024743,5000
win,market_free,mean_abs_shap,DirtBabaCD,0.0,5000
win,market_free,mean_abs_shap,Futan,0.0113498206,5000
win,market_free,mean_abs_shap,GradeCD,0.039838039829,5000
win,market_free,mean_abs_shap,JyoCD,0.051280172576,5000
win,market_free,mean_abs_shap,JyokenCD1,0.004819533465,5000
win,market_free,mean_abs_shap,JyokenCD2,0.013601287552,5000
win,market_free,mean_abs_shap,JyokenCD3,0.012734739537,5000
win,market_free,mean_abs_shap,JyokenCD4,0.020828246361,5000
