data_split,bin_type,requested_bin_count,actual_bin_count,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
test,fixed_width,10,8,0,0.000925202123,0.099989340383,37186,0.035354133401,0.037944387673,0.002590254272,win,market_aware
test,fixed_width,10,8,1,0.100000606956,0.199982195999,7257,0.139679081444,0.152128978917,0.012449897473,win,market_aware
test,fixed_width,10,8,2,0.200058377921,0.299821466979,2101,0.241241032698,0.281294621609,0.04005358891,win,market_aware
test,fixed_width,10,8,3,0.30012091316,0.39992192417,645,0.339197787128,0.341085271318,0.00188748419,win,market_aware
test,fixed_width,10,8,4,0.40042048156,0.49936453319,190,0.44481274451,0.378947368421,-0.065865376089,win,market_aware
test,fixed_width,10,8,5,0.500957535958,0.59634887857,81,0.545493093457,0.518518518519,-0.026974574938,win,market_aware
test,fixed_width,10,8,6,0.600189648503,0.691508880376,34,0.637458754114,0.588235294118,-0.049223459996,win,market_aware
test,fixed_width,10,8,7,0.705531474193,0.733631413751,3,0.720701413406,0.333333333333,-0.387368080072,win,market_aware
test,quantile,10,10,0,0.000925202123,0.007277784358,4750,0.004821339934,0.002947368421,-0.001873971513,win,market_aware
test,quantile,10,10,1,0.007278239278,0.013213140701,4750,0.010113341553,0.009263157895,-0.000850183658,win,market_aware
test,quantile,10,10,2,0.013213733064,0.020543780753,4749,0.016735717605,0.017056222363,0.000320504758,win,market_aware
test,quantile,10,10,3,0.020543991425,0.02942703754,4750,0.02481640758,0.025052631579,0.000236223999,win,market_aware
test,quantile,10,10,4,0.029427225739,0.040582272617,4750,0.034702174036,0.036210526316,0.00150835228,win,market_aware
test,quantile,10,10,5,0.040583574352,0.055734304021,4749,0.047809031054,0.051168667088,0.003359636034,win,market_aware
test,quantile,10,10,6,0.055735537992,0.076081846613,4750,0.065423209303,0.068,0.002576790697,win,market_aware
test,quantile,10,10,7,0.076082445928,0.106508707233,4749,0.090014251819,0.105706464519,0.0156922127,win,market_aware
test,quantile,10,10,8,0.106536573693,0.162819260858,4750,0.131293127235,0.138105263158,0.006812135923,win,market_aware
test,quantile,10,10,9,0.162820862758,0.733631413751,4750,0.249355505982,0.275157894737,0.025802388755,win,market_aware
validation,fixed_width,10,8,0,0.000782871388,0.099983599019,35918,0.0356945387,0.035692410491,-2.12821e-6,win,market_aware
validation,fixed_width,10,8,1,0.100008759147,0.199976174968,7485,0.13947129808,0.153106212425,0.013634914345,win,market_aware
validation,fixed_width,10,8,2,0.20004501775,0.299968756563,2248,0.24075628026,0.25756227758,0.01680599732,win,market_aware
validation,fixed_width,10,8,3,0.300008712592,0.399239152603,735,0.339700042753,0.356462585034,0.016762542282,win,market_aware
validation,fixed_width,10,8,4,0.400137029802,0.499699745157,227,0.444921568043,0.453744493392,0.008822925349,win,market_aware
validation,fixed_width,10,8,5,0.501357907498,0.599220396928,94,0.549195663676,0.670212765957,0.121017102282,win,market_aware
validation,fixed_width,10,8,6,0.600104328156,0.692694870623,39,0.635387242713,0.564102564103,-0.071284678611,win,market_aware
validation,fixed_width,10,8,7,0.709108628988,0.791913129431,6,0.735559021071,0.5,-0.235559021071,win,market_aware
validation,quantile,10,10,0,0.000782871388,0.007442698548,4676,0.00491842869,0.002138579983,-0.002779848707,win,market_aware
validation,quantile,10,10,1,0.007442863271,0.013772511109,4675,0.01041906527,0.011336898396,0.000917833126,win,market_aware
validation,quantile,10,10,2,0.013773088017,0.021500004101,4675,0.017483944739,0.015187165775,-0.002296778963,win,market_aware
validation,quantile,10,10,3,0.021500929075,0.03078553018,4675,0.025947210409,0.023529411765,-0.002417798644,win,market_aware
validation,quantile,10,10,4,0.030788947074,0.042446009671,4675,0.036363019566,0.037005347594,0.000642328028,win,market_aware
validation,quantile,10,10,5,0.04244983071,0.05809659831,4675,0.049972629839,0.047914438503,-0.002058191336,win,market_aware
validation,quantile,10,10,6,0.058099567219,0.079707090539,4675,0.068121583588,0.071443850267,0.00332226668,win,market_aware
validation,quantile,10,10,7,0.079707109314,0.111608253645,4675,0.094512492327,0.105882352941,0.011369860614,win,market_aware
validation,quantile,10,10,8,0.111614986797,0.170713821457,4675,0.137450031413,0.147379679144,0.009929647732,win,market_aware
validation,quantile,10,10,9,0.17072359556,0.791913129431,4676,0.2603663571,0.278229255774,0.017862898674,win,market_aware
latest_holdout,fixed_width,10,7,0,0.001255491336,0.099988816882,16605,0.035910845272,0.038060825053,0.002149979781,win,market_free
