data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
validation,fixed_width,6,0.6001043281559518,0.6926948706234687,39,0.635387242713445,0.5641025641025641,-0.07128467861088095,win,market_aware
validation,fixed_width,7,0.7091086289878734,0.791913129430867,6,0.7355590210707267,0.5,-0.23555902107072668,win,market_aware
test,fixed_width,0,0.0009252021230560433,0.09998934038290838,37186,0.03535413340074813,0.03794438767278008,0.0025902542720319457,win,market_aware
test,fixed_width,1,0.10000060695626253,0.19998219599877068,7257,0.1396790814435128,0.15212897891690783,0.012449897473395033,win,market_aware
test,fixed_width,2,0.20005837792091372,0.2998214669787003,2101,0.24124103269845146,0.28129462160875773,0.040053588910306276,win,market_aware
test,fixed_width,3,0.30012091315955847,0.39992192416960115,645,0.33919778712767157,0.34108527131782945,0.0018874841901578843,win,market_aware
test,fixed_width,4,0.4004204815596779,0.4993645331904408,190,0.44481274451012637,0.37894736842105264,-0.06586537608907372,win,market_aware
test,fixed_width,5,0.5009575359576249,0.5963488785702794,81,0.5454930934565619,0.5185185185185185,-0.02697457493804345,win,market_aware
test,fixed_width,6,0.6001896485031344,0.6915088803762636,34,0.6374587541137047,0.5882352941176471,-0.049223459996057595,win,market_aware
test,fixed_width,7,0.7055314741930759,0.7336314137513068,3,0.7207014134055808,0.3333333333333333,-0.3873680800722475,win,market_aware
latest_holdout,fixed_width,0,0.0009486634389814365,0.09994318998958739,16826,0.03324363228605241,0.03601569000356591,0.0027720577175134944,win,market_aware
latest_holdout,fixed_width,1,0.10002038858910539,0.19998699305945195,2990,0.14054824326868384,0.15451505016722408,0.01396680689854024,win,market_aware
latest_holdout,fixed_width,2,0.2000372677475094,0.2994104527239526,996,0.24238380123509354,0.2680722891566265,0.02568848792153297,win,market_aware
latest_holdout,fixed_width,3,0.30011215743096803,0.3997784874012871,310,0.3428981337366988,0.3225806451612903,-0.020317488575408493,win,market_aware
latest_holdout,fixed_width,4,0.4002628639102508,0.49500300048328394,90,0.4462595664361822,0.4222222222222222,-0.024037344213959977,win,market_aware
latest_holdout,fixed_width,5,0.5005925819464665,0.5972017172560679,50,0.5386907176092303,0.48,-0.05869071760923028,win,market_aware
latest_holdout,fixed_width,6,0.6004327966388288,0.6777965424499864,12,0.6367812211338266,0.75,0.11321877886617338,win,market_aware
latest_holdout,fixed_width,7,0.7052813338483922,0.7448362761462713,2,0.7250588049973318,0.5,-0.22505880499733177,win,market_aware
validation,quantile,0,0.000782871387963937,0.007442698547757659,4676,0.004918428690179136,0.00213857998289136,-0.002779848707287776,win,market_aware
validation,quantile,1,0.007442863270555799,0.013772511108954125,4675,0.010419065269755683,0.011336898395721925,0.0009178331259662425,win,market_aware
validation,quantile,2,0.01377308801717485,0.02150000410073003,4675,0.01748394473884392,0.015187165775401069,-0.0022967789634428526,win,market_aware
validation,quantile,3,0.02150092907543891,0.030785530180374332,4675,0.02594721040908968,0.023529411764705882,-0.0024177986443837986,win,market_aware
validation,quantile,4,0.03078894707410907,0.042446009670845525,4675,0.03636301956567036,0.037005347593582885,0.000642328027912524,win,market_aware
validation,quantile,5,0.04244983071015038,0.05809956721883784,4676,0.049974367849517844,0.04790419161676647,-0.0020701762327513737,win,market_aware
validation,quantile,6,0.05810236977216427,0.07970710931377298,4675,0.06812620552177298,0.07165775401069518,0.0035315484889222037,win,market_aware
validation,quantile,7,0.07970736072057077,0.11161498679698814,4675,0.09451931754162202,0.10566844919786096,0.011149131656238945,win,market_aware
