data_split,bin,rows,avg_pred_probability,actual_rate,actual_minus_pred,target,feature_set
validation,0,15305,0.05426433692496302,0.05396929108134597,-0.00029504584361705194,place,market_history
validation,1,12203,0.14627348927750497,0.15701057117102352,0.010737081893518546,place,market_history
validation,2,7916,0.2469684784652962,0.2702122283981809,0.023243749932884666,place,market_history
validation,3,4979,0.3463383211677164,0.3801968266720225,0.03385850550430608,place,market_history
validation,4,3194,0.4471331742984531,0.4627426424546024,0.015609468156149275,place,market_history
validation,5,1863,0.5449770568924047,0.5925925925925926,0.04761553570018784,place,market_history
validation,6,885,0.6431861579035905,0.6610169491525424,0.017830791248951927,place,market_history
validation,7,347,0.7395742035385932,0.8069164265129684,0.0673422229743752,place,market_history
validation,8,60,0.835785344910669,0.8833333333333333,0.04754798842266428,place,market_history
test,0,16862,0.053384776641875825,0.05770371248962163,0.004318935847745807,place,market_history
test,1,12415,0.14610346060893684,0.1747885622231172,0.028685101614180364,place,market_history
test,2,7639,0.2461918863249634,0.2730723916743029,0.02688050534933953,place,market_history
test,3,4799,0.3459301047056295,0.3821629506147114,0.03623284590908188,place,market_history
test,4,2920,0.444983353415767,0.4780821917808219,0.033098838365054895,place,market_history
test,5,1695,0.5446271209846274,0.5852507374631268,0.040623616478499436,place,market_history
test,6,838,0.6410627311917392,0.6754176610978521,0.034354929906112885,place,market_history
test,7,278,0.7396539018206797,0.7769784172661871,0.03732451544550741,place,market_history
test,8,51,0.8333727065368208,0.8431372549019608,0.009764548365139958,place,market_history
latest_holdout,0,8447,0.05194476240752412,0.05457558896649698,0.002630826558972864,place,market_history
latest_holdout,1,5169,0.14465478267913043,0.16792416328109885,0.023269380601968426,place,market_history
latest_holdout,2,3082,0.2451985917199134,0.29072031148604804,0.045521719766134644,place,market_history
latest_holdout,3,2003,0.3454674454872206,0.4023964053919121,0.056928959904691545,place,market_history
latest_holdout,4,1213,0.44539230165678184,0.4987633965375103,0.05337109488072844,place,market_history
latest_holdout,5,751,0.5430332198810603,0.5765645805592543,0.033531360678193955,place,market_history
latest_holdout,6,428,0.6415260499950473,0.6612149532710281,0.01968890327598083,place,market_history
latest_holdout,7,155,0.7379852872517221,0.7935483870967742,0.055563099845052144,place,market_history
latest_holdout,8,28,0.831733693895787,0.8928571428571429,0.06112344896135591,place,market_history
validation,0,15946,0.05201793451516364,0.05179982440737489,-0.00021811010778875067,place,market_aware
validation,1,11500,0.14605589605988342,0.1528695652173913,0.00681366915750789,place,market_aware
validation,2,7562,0.24657809517798981,0.271356783919598,0.024778688741608185,place,market_aware
validation,3,5020,0.34647235802524745,0.3691235059760956,0.02265114795084816,place,market_aware
validation,4,3128,0.4450830741636684,0.4827365728900256,0.037653498726357204,place,market_aware
validation,5,1887,0.5467074067279222,0.5627980922098569,0.016090685481934708,place,market_aware
validation,6,1089,0.6453456844346277,0.6629935720844812,0.017647887649853478,place,market_aware
validation,7,494,0.742672897208289,0.7813765182186235,0.03870362101033453,place,market_aware
validation,8,123,0.8373677777603676,0.8292682926829268,-0.008099485077440849,place,market_aware
validation,9,3,0.9047637448859138,1.0,0.09523625511408618,place,market_aware
test,0,17079,0.05186641698058802,0.05439428537970607,0.0025278683991180537,place,market_aware
test,1,11780,0.1458407744511001,0.16748726655348048,0.02164649210238037,place,market_aware
test,2,7665,0.2463893047063825,0.2708414872798434,0.024452182573460907,place,market_aware
test,3,4816,0.34575212057271243,0.3770764119601329,0.03132429138742049,place,market_aware
test,4,2957,0.44700175510589607,0.4832600608725059,0.03625830576660982,place,market_aware
test,5,1751,0.5455920504805586,0.5733866362078812,0.02779458572732263,place,market_aware
test,6,967,0.6434265170278096,0.6814891416752844,0.038062624647474785,place,market_aware
test,7,381,0.7413656128820033,0.7847769028871391,0.04341129000513577,place,market_aware
test,8,93,0.8385131956370832,0.8924731182795699,0.053959922642486724,place,market_aware
test,9,8,0.9149186085043244,1.0,0.08508139149567562,place,market_aware
latest_holdout,0,8485,0.04982213135805551,0.05032410135533294,0.0005019699972774322,place,market_aware
latest_holdout,1,4858,0.1448647754338041,0.15664882667764513,0.01178405124384102,place,market_aware
latest_holdout,2,3101,0.24623325749472283,0.29377620122541115,0.04754294373068832,place,market_aware
latest_holdout,3,2036,0.3463853734711859,0.3796660117878193,0.03328063831663336,place,market_aware
latest_holdout,4,1249,0.44809404927336277,0.4835868694955965,0.03549282022223371,place,market_aware
latest_holdout,5,781,0.5471723097004841,0.6030729833546735,0.05590067365418938,place,market_aware
latest_holdout,6,487,0.644198457466765,0.6632443531827515,0.019045895715986583,place,market_aware
latest_holdout,7,225,0.7427880005692368,0.7955555555555556,0.0527675549863188,place,market_aware
latest_holdout,8,53,0.835861150120377,0.9433962264150944,0.10753507629471737,place,market_aware
latest_holdout,9,1,0.9043973698220702,1.0,0.0956026301779298,place,market_aware
